Ã…r;Indeks;Andel
1990;1;0.707299448
1991;2;1.407395158
1992;3;2.216365832
1993;4;2.783990846
1994;5;4.152450292
1995;6;6.423220493
1996;7;18.25031077
1997;8;20.41788144
1998;9;22.56011255
1999;10;40
2000;11;52
2001;12;64
2002;13;72.84
2003;14;78.13
2004;15;77.69
2005;16;81.99
2006;17;82.55
2007;18;86.93
2008;19;90.57
2009;20;92.08
2010;21;93.39
2011;22;93.48998265
2012;23;94.64997805
2013;24;95.0534
2014;25;96.3
2015;26;96.81032569
2016;27;97.29820367
2017;28;96.3576013
2018;29;96.49165799
2019;30;98.00000439
